"operation_type","block_data.block_time per 7 days","Count of operation_type"
0,"2013-12-30","-"
0,"2014-01-06","-"
0,"2014-01-13","-"
0,"2014-01-20","-"
0,"2014-01-27","-"
0,"2014-02-03","-"
0,"2014-02-10","-"
0,"2014-02-17","-"
0,"2014-02-24","-"
0,"2014-03-03","-"
0,"2014-03-10","-"
0,"2014-03-17","-"
0,"2014-03-24","-"
0,"2014-03-31","-"
0,"2014-04-07","-"
0,"2014-04-14","-"
0,"2014-04-21","-"
0,"2014-04-28","-"
0,"2014-05-05","-"
0,"2014-05-12","-"
0,"2014-05-19","-"
0,"2014-05-26","-"
0,"2014-06-02","-"
0,"2014-06-09","-"
0,"2014-06-16","-"
0,"2014-06-23","-"
0,"2014-06-30","-"
0,"2014-07-07","-"
0,"2014-07-14","-"
0,"2014-07-21","-"
0,"2014-07-28","-"
0,"2014-08-04","-"
0,"2014-08-11","-"
0,"2014-08-18","-"
0,"2014-08-25","-"
0,"2014-09-01","-"
0,"2014-09-08","-"
0,"2014-09-15","-"
0,"2014-09-22","-"
0,"2014-09-29","-"
0,"2014-10-06","-"
0,"2014-10-13","-"
0,"2014-10-20","-"
0,"2014-10-27","-"
0,"2014-11-03","-"
0,"2014-11-10","-"
0,"2014-11-17","-"
0,"2014-11-24","-"
0,"2014-12-01","-"
0,"2014-12-08","-"
0,"2014-12-15","-"
0,"2014-12-22","-"
0,"2014-12-29","-"
0,"2015-01-05","-"
0,"2015-01-12","-"
0,"2015-01-19","-"
0,"2015-01-26","-"
0,"2015-02-02","-"
0,"2015-02-09","-"
0,"2015-02-16","-"
0,"2015-02-23","-"
0,"2015-03-02","-"
0,"2015-03-09","-"
0,"2015-03-16","-"
0,"2015-03-23","-"
0,"2015-03-30","-"
0,"2015-04-06","-"
0,"2015-04-13","-"
0,"2015-04-20","-"
0,"2015-04-27","-"
0,"2015-05-04","-"
0,"2015-05-11","-"
0,"2015-05-18","-"
0,"2015-05-25","-"
0,"2015-06-01","-"
0,"2015-06-08","-"
0,"2015-06-15","-"
0,"2015-06-22","-"
0,"2015-06-29","-"
0,"2015-07-06","-"
0,"2015-07-13","-"
0,"2015-07-20","-"
0,"2015-07-27","-"
0,"2015-08-03","-"
0,"2015-08-10","-"
0,"2015-08-17","-"
0,"2015-08-24","-"
0,"2015-08-31","-"
0,"2015-09-07","-"
0,"2015-09-14","-"
0,"2015-09-21","-"
0,"2015-09-28","-"
0,"2015-10-05","-"
0,"2015-10-12","2,016"
0,"2015-10-19","1,608"
0,"2015-10-26","1,534"
0,"2015-11-02","2,604"
0,"2015-11-09","2,754"
0,"2015-11-16","2,288"
0,"2015-11-23","2,300"
0,"2015-11-30","1,702"
0,"2015-12-07","2,148"
0,"2015-12-14","2,064"
0,"2015-12-21","2,760"
0,"2015-12-28","2,324"
0,"2016-01-04","2,504"
0,"2016-01-11","2,916"
0,"2016-01-18","2,444"
0,"2016-01-25","3,322"
0,"2016-02-01","2,296"
0,"2016-02-08","5,686"
0,"2016-02-15","3,486"
0,"2016-02-22","3,016"
0,"2016-02-29","3,750"
0,"2016-03-07","7,968"
0,"2016-03-14","5,410"
0,"2016-03-21","8,342"
0,"2016-03-28","4,934"
0,"2016-04-04","3,704"
0,"2016-04-11","4,344"
0,"2016-04-18","4,062"
0,"2016-04-25","4,532"
0,"2016-05-02","5,138"
0,"2016-05-09","4,622"
0,"2016-05-16","5,668"
0,"2016-05-23","3,806"
0,"2016-05-30","7,852"
0,"2016-06-06","4,192"
0,"2016-06-13","3,944"
0,"2016-06-20","2,892"
0,"2016-06-27","4,200"
0,"2016-07-04","3,292"
0,"2016-07-11","5,760"
0,"2016-07-18","4,424"
0,"2016-07-25","3,646"
0,"2016-08-01","4,202"
0,"2016-08-08","3,664"
0,"2016-08-15","5,618"
0,"2016-08-22","5,790"
0,"2016-08-29","6,640"
0,"2016-09-05","4,940"
0,"2016-09-12","5,044"
0,"2016-09-19","3,376"
0,"2016-09-26","5,038"
0,"2016-10-03","2,662"
0,"2016-10-10","3,052"
0,"2016-10-17","2,200"
0,"2016-10-24","2,570"
0,"2016-10-31","2,390"
0,"2016-11-07","1,864"
0,"2016-11-14","2,288"
0,"2016-11-21","1,940"
0,"2016-11-28","3,298"
0,"2016-12-05","3,756"
0,"2016-12-12","3,336"
0,"2016-12-19","4,602"
0,"2016-12-26","2,970"
0,"2017-01-02","5,338"
0,"2017-01-09","3,264"
0,"2017-01-16","3,658"
0,"2017-01-23","2,632"
0,"2017-01-30","3,466"
0,"2017-02-06","2,712"
0,"2017-02-13","3,552"
0,"2017-02-20","3,484"
0,"2017-02-27","4,734"
0,"2017-03-06","4,566"
0,"2017-03-13","5,832"
0,"2017-03-20","6,190"
0,"2017-03-27","7,594"
0,"2017-04-03","8,634"
0,"2017-04-10","8,646"
0,"2017-04-17","10,014"
0,"2017-04-24","10,160"
0,"2017-05-01","16,182"
0,"2017-05-08","21,522"
